# JMH version: 1.36
# VM version: JDK 17.0.7, OpenJDK 64-Bit Server VM, 17.0.7+7
# VM invoker: /home/r_schwietzke/.sdkman/candidates/java/17.0.7-tem/bin/java
# VM options: -Xms2g -Xmx2g -XX:+UseSerialGC -XX:+AlwaysPreTouch -XX:+UseSerialGC
# Blackhole mode: compiler (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 3 iterations, 2 s each
# Measurement: 10 iterations, 2 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: org.xceptance.B06b_QuotedWarmupAndUnquotedTest.parse

# Run progress: 0.00% complete, ETA 00:06:30
# Fork: 1 of 15
# Warmup Iteration   1: 676.655 ns/op
# Warmup Iteration   2: 717.067 ns/op
# Warmup Iteration   3: 709.536 ns/op
Iteration   5: 999.606 ns/op
Iteration   6: 1000.092 ns/op
Iteration   7: 999.606 ns/op
Iteration   8: 999.542 ns/op
Iteration   9: 999.402 ns/op
Iteration  10: 999.988 ns/op

# Run progress: 73.33% complete, ETA 00:01:48
# Fork: 12 of 15
# Warmup Iteration   1: 679.279 ns/op
# Warmup Iteration   2: 678.607 ns/op
# Warmup Iteration   3: 670.577 ns/op
Iteration   1: 1070.464 ns/op
Iteration   2: 1071.340 ns/op
Iteration   3: 1071.273 ns/op
Iteration   4: 1068.385 ns/op
Iteration   5: 1067.723 ns/op
Iteration   6: 1067.855 ns/op
Iteration   7: 1068.598 ns/op
Iteration   8: 1067.758 ns/op
Iteration   9: 1067.492 ns/op
Iteration  10: 1068.063 ns/op

# Run progress: 80.00% complete, ETA 00:01:21
# Fork: 13 of 15
# Warmup Iteration   1: 677.039 ns/op
# Warmup Iteration   2: 677.258 ns/op
# Warmup Iteration   3: 670.924 ns/op
Iteration   1: 1071.900 ns/op
Iteration   2: 1071.926 ns/op
Iteration   3: 1071.679 ns/op
Iteration   4: 1070.878 ns/op
Iteration   5: 1068.647 ns/op
Iteration   6: 1068.793 ns/op
Iteration   7: 1068.889 ns/op
Iteration   8: 1071.048 ns/op
Iteration   9: 1073.313 ns/op
Iteration  10: 1070.768 ns/op

# Run progress: 86.67% complete, ETA 00:00:54
# Fork: 14 of 15
# Warmup Iteration   1: 677.130 ns/op
# Warmup Iteration   2: 678.200 ns/op
# Warmup Iteration   3: 670.647 ns/op
Iteration   1: 1072.349 ns/op
Iteration   2: 1076.597 ns/op
Iteration   3: 1070.518 ns/op
Iteration   4: 1070.051 ns/op
Iteration   5: 1070.515 ns/op
Iteration   6: 1070.336 ns/op
Iteration   7: 1071.902 ns/op
Iteration   8: 1089.472 ns/op
Iteration   9: 1069.365 ns/op
Iteration  10: 1069.429 ns/op

# Run progress: 93.33% complete, ETA 00:00:27
# Fork: 15 of 15
# Warmup Iteration   1: 677.147 ns/op
# Warmup Iteration   2: 714.794 ns/op
# Warmup Iteration   3: 707.964 ns/op
Iteration   1: 1002.860 ns/op
Iteration   2: 1001.867 ns/op
Iteration   3: 1000.881 ns/op
Iteration   4: 1001.435 ns/op
Iteration   5: 1000.349 ns/op
Iteration   6: 1000.016 ns/op
Iteration   7: 1000.470 ns/op
Iteration   8: 999.753 ns/op
Iteration   9: 1000.569 ns/op
Iteration  10: 1000.753 ns/op


Result "org.xceptance.B06b_QuotedWarmupAndUnquotedTest.parse":
  1033.319 ±(99.9%) 9.463 ns/op [Average]
  (min, avg, max) = (999.108, 1033.319, 1089.472), stdev = 34.524
  CI (99.9%): [1023.856, 1042.782] (assumes normal distribution)


# Run complete. Total time: 00:06:47

REMEMBER: The numbers below are just data. To gain reusable insights, you need to follow up on
why the numbers are the way they are. Use profilers (see -prof, -lprof), design factorial
experiments, perform baseline and negative tests that provide experimental control, make sure
the benchmarking environment is safe on JVM/OS/HW level, ask for reviews from the domain experts.
Do not assume the numbers tell you what you want them to tell.

NOTE: Current JVM experimentally supports Compiler Blackholes, and they are in use. Please exercise
extra caution when trusting the results, look into the generated code to check the benchmark still
works, and factor in a small probability of new VM bugs. Additionally, while comparisons between
different JVMs are already problematic, the performance difference caused by different Blackhole
modes can be very significant. Please make sure you use the consistent Blackhole mode for comparisons.

Benchmark                               Mode  Cnt     Score   Error  Units
B06b_QuotedWarmupAndUnquotedTest.parse  avgt  150  1033.319 ± 9.463  ns/op
